GT,LE,CLASS_CODE,UPPER_LIMIT,LOWER_LIMIT
0,3,b9,-140,-165
0,3,c9,-60,-85
0,3,d8,-20,-34
0,3,d9,-20,-45
0,3,e7,-14,-24
0,3,e8,-14,-28
0,3,e9,-14,-39
0,3,f6,-6,-12
0,3,f7,-6,-16
0,3,f8,-6,-20
0,3,g5,-2,-6
0,3,g6,-2,-8
0,3,h5,0,-4
0,3,h6,0,-6
0,3,h7,0,-10
0,3,h8,0,-14
0,3,h9,0,-25
0,3,js5,2,-2
0,3,js6,3,-3
0,3,js7,5,-5
0,3,k5,4,0
0,3,k6,6,0
0,3,m5,6,2
0,3,m6,8,2
0,3,n5,8,4
0,3,n6,10,4
0,3,p6,12,6
0,3,r6,16,10
0,3,s6,20,14
0,3,t6,,
0,3,u6,24,18
0,3,x6,26,20
3,6,b9,-140,-170
3,6,c9,-70,-100
3,6,d8,-30,-48
3,6,d9,-30,-60
3,6,e7,-20,-32
3,6,e8,-20,-38
3,6,e9,-20,-50
3,6,f6,-10,-18
3,6,f7,-10,-22
3,6,f8,-10,-28
3,6,g5,-4,-9
3,6,g6,-4,-12
3,6,h5,0,-5
3,6,h6,0,-8
3,6,h7,0,-12
3,6,h8,0,-18
3,6,h9,0,-30
3,6,js5,2.5,-2.5
3,6,js6,4,-4
3,6,js7,6,-6
3,6,k5,6,1
3,6,k6,9,1
3,6,m5,9,4
3,6,m6,12,4
3,6,n5,13,8
3,6,n6,16,8
3,6,p6,20,12
3,6,r6,23,15
3,6,s6,27,19
3,6,t6,,
3,6,u6,31,23
3,6,x6,36,28
6,10,b9,-150,-186
6,10,c9,-80,-116
6,10,d8,-40,-62
6,10,d9,-40,-76
6,10,e7,-25,-40
6,10,e8,-25,-47
6,10,e9,-25,-61
6,10,f6,-13,-22
6,10,f7,-13,-28
6,10,f8,-13,-35
6,10,g5,-5,-11
6,10,g6,-5,-14
6,10,h5,0,-6
6,10,h6,0,-9
6,10,h7,0,-15
6,10,h8,0,-22
6,10,h9,0,-36
6,10,js5,3,-3
6,10,js6,4.5,-4.5
6,10,js7,7.5,-7.5
6,10,k5,7,1
6,10,k6,10,1
6,10,m5,12,6
6,10,m6,15,6
6,10,n5,16,10
6,10,n6,19,10
6,10,p6,24,15
6,10,r6,28,19
6,10,s6,32,23
6,10,t6,,
6,10,u6,37,28
6,10,x6,43,34
10,14,b9,-150,-193
10,14,c9,-95,-138
10,14,d8,-50,-77
10,14,d9,-50,-93
10,14,e7,-32,-50
10,14,e8,-32,-59
10,14,e9,-32,-75
10,14,f6,-16,-27
10,14,f7,-16,-34
10,14,f8,-16,-43
10,14,g5,-6,-14
10,14,g6,-6,-17
10,14,h5,0,-8
10,14,h6,0,-11
10,14,h7,0,-18
10,14,h8,0,-27
10,14,h9,0,-43
10,14,js5,4,-4
10,14,js6,5.5,-5.5
10,14,js7,9,-9
10,14,k5,9,1
10,14,k6,12,1
10,14,m5,15,7
10,14,m6,18,7
10,14,n5,20,12
10,14,n6,23,12
10,14,p6,29,18
10,14,r6,34,23
10,14,s6,39,28
10,14,t6,,
10,14,u6,44,33
10,14,x6,51,40
14,18,b9,-150,-193
14,18,c9,-95,-138
14,18,d8,-50,-77
14,18,d9,-50,-93
14,18,e7,-32,-50
14,18,e8,-32,-59
14,18,e9,-32,-75
14,18,f6,-16,-27
14,18,f7,-16,-34
14,18,f8,-16,-43
14,18,g5,-6,-14
14,18,g6,-6,-17
14,18,h5,0,-8
14,18,h6,0,-11
14,18,h7,0,-18
14,18,h8,0,-27
14,18,h9,0,-43
14,18,js5,4,-4
14,18,js6,5.5,-5.5
14,18,js7,9,-9
14,18,k5,9,1
14,18,k6,12,1
14,18,m5,15,7
14,18,m6,18,7
14,18,n5,20,12
14,18,n6,23,12
14,18,p6,29,18
14,18,r6,34,23
14,18,s6,39,28
14,18,t6,,
14,18,u6,44,33
14,18,x6,56,45
18,24,b9,-160,-212
18,24,c9,-110,-162
18,24,d8,-65,-98
18,24,d9,-65,-117
18,24,e7,-40,-61
18,24,e8,-40,-73
18,24,e9,-40,-92
18,24,f6,-20,-33
18,24,f7,-20,-41
18,24,f8,-20,-53
18,24,g5,-7,-16
18,24,g6,-7,-20
18,24,h5,0,-9
18,24,h6,0,-13
18,24,h7,0,-21
18,24,h8,0,-33
18,24,h9,0,-52
18,24,js5,4.5,-4.5
18,24,js6,6.5,-6.5
18,24,js7,10.5,-10.5
18,24,k5,11,2
18,24,k6,15,2
18,24,m5,17,8
18,24,m6,21,8
18,24,n5,24,15
18,24,n6,28,15
18,24,p6,35,22
18,24,r6,41,28
18,24,s6,48,35
18,24,t6,,
18,24,u6,54,41
18,24,x6,67,54
24,30,b9,-160,-212
24,30,c9,-110,-162
24,30,d8,-65,-98
24,30,d9,-65,-117
24,30,e7,-40,-61
24,30,e8,-40,-73
24,30,e9,-40,-92
24,30,f6,-20,-33
24,30,f7,-20,-41
24,30,f8,-20,-53
24,30,g5,-7,-16
24,30,g6,-7,-20
24,30,h5,0,-9
24,30,h6,0,-13
24,30,h7,0,-21
24,30,h8,0,-33
24,30,h9,0,-52
24,30,js5,4.5,-4.5
24,30,js6,6.5,-6.5
24,30,js7,10.5,-10.5
24,30,k5,11,2
24,30,k6,15,2
24,30,m5,17,8
24,30,m6,21,8
24,30,n5,24,15
24,30,n6,28,15
24,30,p6,35,22
24,30,r6,41,28
24,30,s6,48,35
24,30,t6,54,41
24,30,u6,61,48
24,30,x6,77,64
30,40,b9,-170,-232
30,40,c9,-120,-182
30,40,d8,-80,-119
30,40,d9,-80,-142
30,40,e7,-50,-75
30,40,e8,-50,-89
30,40,e9,-50,-112
30,40,f6,-25,-41
30,40,f7,-25,-50
30,40,f8,-25,-64
30,40,g5,-9,-20
30,40,g6,-9,-25
30,40,h5,0,-11
30,40,h6,0,-16
30,40,h7,0,-25
30,40,h8,0,-39
30,40,h9,0,-62
30,40,js5,5.5,-5.5
30,40,js6,8,-8
30,40,js7,12.5,-12.5
30,40,k5,13,2
30,40,k6,18,2
30,40,m5,20,9
30,40,m6,25,9
30,40,n5,28,17
30,40,n6,33,17
30,40,p6,42,26
30,40,r6,50,34
30,40,s6,59,43
30,40,t6,64,48
30,40,u6,76,60
30,40,x6,,
40,50,b9,-180,-242
40,50,c9,-130,-192
40,50,d8,-80,-119
40,50,d9,-80,-142
40,50,e7,-50,-75
40,50,e8,-50,-89
40,50,e9,-50,-112
40,50,f6,-25,-41
40,50,f7,-25,-50
40,50,f8,-25,-64
40,50,g5,-9,-20
40,50,g6,-9,-25
40,50,h5,0,-11
40,50,h6,0,-16
40,50,h7,0,-25
40,50,h8,0,-39
40,50,h9,0,-62
40,50,js5,5.5,-5.5
40,50,js6,8,-8
40,50,js7,12.5,-12.5
40,50,k5,13,2
40,50,k6,18,2
40,50,m5,20,9
40,50,m6,25,9
40,50,n5,28,17
40,50,n6,33,17
40,50,p6,42,26
40,50,r6,50,34
40,50,s6,59,43
40,50,t6,70,54
40,50,u6,86,70
40,50,x6,,
50,65,b9,-190,-264
50,65,c9,-140,-214
50,65,d8,-100,-146
50,65,d9,-100,-174
50,65,e7,-60,-90
50,65,e8,-60,-106
50,65,e9,-60,-134
50,65,f6,-30,-49
50,65,f7,-30,-60
50,65,f8,-30,-76
50,65,g5,-10,-23
50,65,g6,-10,-29
50,65,h5,0,-13
50,65,h6,0,-19
50,65,h7,0,-30
50,65,h8,0,-46
50,65,h9,0,-74
50,65,js5,6.5,-6.5
50,65,js6,9.5,-9.5
50,65,js7,15,-15
50,65,k5,15,2
50,65,k6,21,2
50,65,m5,24,11
50,65,m6,30,11
50,65,n5,33,20
50,65,n6,39,20
50,65,p6,51,32
50,65,r6,60,41
50,65,s6,72,53
50,65,t6,85,66
50,65,u6,106,87
50,65,x6,,
65,80,b9,-200,-274
65,80,c9,-150,-224
65,80,d8,-100,-146
65,80,d9,-100,-174
65,80,e7,-60,-90
65,80,e8,-60,-106
65,80,e9,-60,-134
65,80,f6,-30,-49
65,80,f7,-30,-60
65,80,f8,-30,-76
65,80,g5,-10,-23
65,80,g6,-10,-29
65,80,h5,0,-13
65,80,h6,0,-19
65,80,h7,0,-30
65,80,h8,0,-46
65,80,h9,0,-74
65,80,js5,6.5,-6.5
65,80,js6,9.5,-9.5
