GT,LE,CLASS_CODE,UPPER_LIMIT,LOWER_LIMIT
0.4999,3,f,0.05,-0.05
3,6,f,0.05,-0.05
6,30,f,0.1,-0.1
30,120,f,0.15,-0.15
120,400,f,0.2,-0.2
400,1000,f,0.3,-0.3
1000,2000,f,0.5,-0.5
2000,4000,f,,
0.4999,3,m,0.1,-0.1
3,6,m,0.1,-0.1
6,30,m,0.2,-0.2
30,120,m,0.3,-0.3
120,400,m,0.5,-0.5
400,1000,m,0.8,-0.8
1000,2000,m,1.2,-1.2
2000,4000,m,2,-2
0.4999,3,c,0.2,-0.2
3,6,c,0.3,-0.3
6,30,c,0.5,-0.5
30,120,c,0.8,-0.8
120,400,c,1.2,-1.2
400,1000,c,2,-2
1000,2000,c,3,-3
2000,4000,c,4,-4
0.4999,3,v,,
3,6,v,0.5,-0.5
6,30,v,1,-1
30,120,v,1.5,-1.5
120,400,v,2.5,-2.5
400,1000,v,4,-4
1000,2000,v,6,-6
2000,4000,v,8,-8
