DEFINE,STR,BEFORE,AFTER,CHNGVL,CALC
defineA,A,A0,0,,
defineA,A,A1,1,,
defineA,A,A2,2,,
defineA,A,A3,3,,
defineA,A,A4,4,,
defineA,A,A5,5,,
defineA,A,A6,6,,
defineA,A,A7,7,,
defineA,A,A8,8,,
defineA,A,A9,9,,
defineA,A,-,0,,
defineB,B,B0,0,,
defineB,B,B1,1,,
defineB,B,B2,2,,
defineB,B,B3,3,,
defineB,B,B4,4,,
defineB,B,B5,5,,
defineB,B,B6,6,,
defineB,B,B7,7,,
defineB,B,B8,8,,
defineB,B,B9,9,,
defineB,B,-,0,,
defineC,C,C0,0,,
defineC,C,C1,1,,
defineC,C,C2,2,,
defineC,C,C3,3,,
defineC,C,C4,4,,
defineC,C,C5,5,,
defineC,C,C6,6,,
defineC,C,C7,7,,
defineC,C,C8,8,,
defineC,C,C9,9,,
defineC,C,-,0,,
defineCN,CN,CN,0.25,,
defineCN,CN,-,0,,
defineD,D,D0,0,,
defineD,D,D1,1,,
defineD,D,D2,2,,
defineD,D,D3,3,,
defineD,D,D4,4,,
defineD,D,D5,5,,
defineD,D,D6,6,,
defineD,D,D7,7,,
defineD,D,D8,8,,
defineD,D,D9,9,,
defineD,D,-,0,,
defineE,E,E0,0,,
defineE,E,E1,1,,
defineE,E,E2,2,,
defineE,E,E3,3,,
defineE,E,E4,4,,
defineE,E,E5,5,,
defineE,E,E6,6,,
defineE,E,E7,7,,
defineE,E,E8,8,,
defineE,E,E9,9,,
defineE,E,-,0,,
defineG,G,G0,0,,
defineG,G,G1,1,,
defineG,G,G2,2,,
defineG,G,G3,3,,
defineG,G,G4,4,,
defineG,G,G5,5,,
defineG,G,G6,6,,
defineG,G,G7,7,,
defineG,G,G8,8,,
defineG,G,G9,9,,
defineG,G,-,0,,
defineL,L,L0,0,,
defineL,L,L1,1,,
defineL,L,L2,2,,
defineL,L,L3,3,,
defineL,L,L4,4,,
defineL,L,L5,5,,
defineL,L,L6,6,,
defineL,L,L7,7,,
defineL,L,L8,8,,
defineL,L,L9,9,,
defineL,L,-,0,,
defineP,P,P0,0,,
defineP,P,P1,1,,
defineP,P,P2,2,,
defineP,P,P3,3,,
defineP,P,P4,4,,
defineP,P,P5,5,,
defineP,P,P6,6,,
defineP,P,P7,7,,
defineP,P,P8,8,,
defineP,P,P9,9,,
defineP,P,-,0,,
defineR,R,R0,0,,
defineR,R,R1,1,,
defineR,R,R2,2,,
defineR,R,R3,3,,
defineR,R,R4,4,,
defineR,R,R5,5,,
defineR,R,R6,6,,
defineR,R,R7,7,,
defineR,R,R8,8,,
defineR,R,R9,9,,
defineR,R,-,0,,
defineTC,TC,TC0,0,,
defineTC,TC,TC1,1,,
defineTC,TC,TC2,2,,
defineTC,TC,TC3,3,,
defineTC,TC,TC4,4,,
defineTC,TC,TC5,5,,
defineTC,TC,TC6,6,,
defineTC,TC,TC7,7,,
defineTC,TC,TC8,8,,
defineTC,TC,TC9,9,,
defineTC,TC,-,0,,
