NO,TYPE,DEFINE1,DEFINE2
221001,JPBB1-2,,
221002,JPBB2-3,,
221003,JPBB2-4,,
221004,JPBB3-4,,
221005,JPBB3-5,,
221006,JPBB3-6,,
221007,JPBB4-5,,
221008,JPBB4-6,,
221009,JPBB5-6,,
221010,JPBB5-8,,
221011,JPBB6-8,,
221012,JPBB6-10,,
221013,JPBB8-10,,
221014,JPBB8-12,,
221015,JPBB8-13,,
221016,JPBB10-12,,
221017,JPBB10-13,,
221018,JPBB10-15,,
221019,JPBB12-13,,
221020,JPBB12-15,,
221021,JPBB12-16,,
221022,JPBB13-15,,
221023,JPBB13-16,,
221024,JPBB16-20,,
221025,JPBB16-25,,
221026,JPBB20-25,,
221027,JPBB20-30,,
241001,JPSB2-1,,
241002,JPSB2-2,,
241003,JPSB3-1,,
241004,JPSB3-2,,
241005,JPSB3-3,,
241006,JPSB4-2,,
241007,JPSB4-3,,
241008,JPSB4-4,,
241009,JPSB5-2,,
241010,JPSB5-3,,
241011,JPSB5-4,,
241012,JPSB5-5,,
241013,JPSB6-2,,
241014,JPSB6-3,,
241015,JPSB6-4,,
241016,JPSB6-5,,
241017,JPSB6-6,,
241018,JPSB8-3,,
241019,JPSB8-4,,
241020,JPSB8-5,,
241021,JPSB8-6,,
241022,JPSB8-8,,
241023,JPSB10-3,,
241024,JPSB10-4,,
241025,JPSB10-5,,
241026,JPSB10-6,,
241027,JPSB10-8,,
241028,JPSB10-10,,
241029,JPSB12-5,,
241030,JPSB12-6,,
241031,JPSB12-8,,
241032,JPSB12-10,,
241033,JPSB12-12,,
241034,JPSB13-6,,
241035,JPSB13-8,,
241036,JPSB13-10,,
241037,JPSB13-12,,
241038,JPSB13-13,,
241039,JPSB16-10,,
241040,JPSB16-12,,
241041,JPSB16-13,,
241042,JPSB16-14,,
241043,JPSB16-15,,
241044,JPSB16-16,,
241045,JPSB20-13,,
241046,JPSB20-14,,
241047,JPSB20-15,,
241048,JPSB20-16,,
241049,JPSB20-20,,
331001,SJPDA1-2,,
331002,SJPDA2-3,,
331003,SJPDA3-5,,
331004,SJPDA4-6,,
331005,SJPDA4-8,,
331006,SJPDA5-8,,
331007,SJPDA6-8,,
331008,SJPDA6-10,,
331009,SJPDA8-12,,
331010,SJPDA10-12,,
331011,SJPDA10-14,,
331012,SJPDA12-16,,
331013,SJPDA13-18,,
331014,SJPDA16-25,,
331015,SJPDA20-30,,
341001,SJPDPA1-2,,
341002,SJPDPA2-3,,
341003,SJPDPA3-5,,
341004,SJPDPA4-6,,
341005,SJPDPA4-8,,
341006,SJPDPA5-8,,
341007,SJPDPA6-8,,
341008,SJPDPA6-10,,
341009,SJPDPA8-12,,
341010,SJPDPA10-12,,
341011,SJPDPA10-14,,
341012,SJPDPA12-16,,
341013,SJPDPA13-18,,
341014,SJPDPA16-25,,
341015,SJPDPA20-30,,
5011001,JPBPB1-2,,
5011002,JPBPB2-3,,
5011003,JPBPB2-4,,
5011004,JPBPB3-4,,
5011005,JPBPB3-5,,
5011006,JPBPB3-6,,
5011007,JPBPB4-5,,
5011008,JPBPB4-6,,
5011009,JPBPB5-6,,
5011010,JPBPB5-8,,
5011011,JPBPB6-8,,
5011012,JPBPB6-10,,
5011013,JPBPB8-10,,
5011014,JPBPB8-12,,
5011015,JPBPB8-13,,
5011016,JPBPB10-12,,
5011017,JPBPB10-13,,
5011018,JPBPB10-15,,
5011019,JPBPB12-13,,
5011020,JPBPB12-15,,
5011021,JPBPB12-16,,
5011022,JPBPB13-15,,
5011023,JPBPB13-16,,
5011024,JPBPB16-20,,
5011025,JPBPB16-25,,
5011026,JPBPB20-25,,
5011027,JPBPB20-30,,
5021001,JPDB2-3,,
5021002,JPDB2-4,,
5021003,JPDB3-4,,
5021004,JPDB3-5,,
5021005,JPDB3-6,,
5021006,JPDB4-5,,
5021007,JPDB4-6,,
5021008,JPDB5-6,,
5021009,JPDB5-8,,
