NO,prg1
221001,1
221002,1
221003,1
221004,1
221005,1
221006,1
221007,1
221008,1
221009,1
221010,1
221011,1
221012,1
221013,1
221014,1
221015,1
221016,1
221017,1
221018,1
221019,1
221020,1
221021,1
221022,1
221023,1
221024,1
221025,1
221026,1
221027,1
241001,1
241002,1
241003,1
241004,1
241005,1
241006,1
241007,1
241008,1
241009,1
241010,1
241011,1
241012,1
241013,1
241014,1
241015,1
241016,1
241017,1
241018,1
241019,1
241020,1
241021,1
241022,1
241023,1
241024,1
241025,1
241026,1
241027,1
241028,1
241029,1
241030,1
241031,1
241032,1
241033,1
241034,1
241035,1
241036,1
241037,1
241038,1
241039,1
241040,1
241041,1
241042,1
241043,1
241044,1
241045,1
241046,1
241047,1
241048,1
241049,1
331001,1
331002,1
331003,1
331004,1
331005,1
331006,1
331007,1
331008,1
331009,1
331010,1
331011,1
331012,1
331013,1
331014,1
331015,1
341001,1
341002,1
341003,1
341004,1
341005,1
341006,1
341007,1
341008,1
341009,1
341010,1
341011,1
341012,1
341013,1
341014,1
341015,1
5011001,1
5011002,1
5011003,1
5011004,1
5011005,1
5011006,1
5011007,1
5011008,1
5011009,1
5011010,1
5011011,1
5011012,1
5011013,1
5011014,1
5011015,1
5011016,1
5011017,1
5011018,1
5011019,1
5011020,1
5011021,1
5011022,1
5011023,1
5011024,1
5011025,1
5011026,1
5011027,1
5021001,1
5021002,1
5021003,1
5021004,1
5021005,1
5021006,1
5021007,1
5021008,1
5021009,1
5021010,1
5021011,1
5021012,1
5021013,1
5021014,1
5021015,1
5021016,1
5021017,1
5021018,1
5021019,1
5021020,1
5021021,1
5021022,1
5021023,1
5021024,1
5021025,1
5021026,1
5031001,1
5031002,1
5031003,1
5031004,1
5031005,1
5031006,1
5031007,1
5031008,1
5031009,1
5031010,1
5031011,1
5031012,1
5031013,1
5031014,1
5031015,1
5031016,1
5031017,1
5031018,1
5031019,1
5031020,1
5031021,1
5031022,1
5031023,1
5031024,1
5031025,1
5031026,1
5041001,1
5041002,1
5041003,1
5041004,1
5041005,1
5041006,1
5041007,1
5041008,1
5041009,1
5041010,1
5041011,1
5041012,1
5041013,1
5041014,1
5041015,1
5041016,1
5041017,1
5041018,1
5041019,1
5041020,1
5041021,1
5041022,1
5041023,1
5041024,1
5041025,1
5041026,1
5041027,1
5051001,1
5051002,1
5051003,1
5051004,1
5051005,1
5051006,1
5051007,1
5051008,1
5051009,1
5051010,1
5051011,1
5051012,1
5051013,1
5051014,1
5051015,1
5051016,1
5051017,1
5051018,1
5051019,1
5051020,1
5051021,1
5051022,1
5051023,1
5051024,1
5051025,1
5051026,1
5051027,1
5061001,1
5061002,1
5061003,1
5061004,1
5061005,1
5061006,1
5061007,1
5061008,1
5061009,1
5061010,1
5061011,1
5061012,1
5061013,1
5061014,1
5061015,1
5061016,1
5061017,1
5061018,1
5061019,1
5061020,1
5061021,1
5061022,1
5061023,1
5061024,1
5061025,1
5061026,1
5071001,1
5071002,1
5071003,1
5071004,1
5071005,1
5071006,1
5071007,1
5071008,1
5071009,1
5071010,1
5071011,1
5071012,1
5071013,1
5071014,1
5071015,1
5071016,1
5071017,1
5071018,1
5071019,1
5071020,1
5071021,1
5071022,1
5071023,1
5071024,1
5071025,1
5071026,1
5081001,1
5081002,1
5081003,1
5081004,1
5081005,1
5081006,1
5081007,1
5081008,1
5081009,1
5081010,1
5081011,1
5081012,1
5081013,1
5081014,1
5081015,1
5081016,1
5081017,1
5081018,1
5081019,1
5081020,1
5081021,1
5081022,1
5081023,1
5081024,1
5081025,1
5081026,1
5081027,1
5091001,1
5091002,1
5091003,1
5091004,1
5091005,1
5091006,1
5091007,1
5091008,1
5091009,1
5091010,1
5091011,1
5091012,1
5091013,1
5091014,1
5091015,1
5091016,1
5091017,1
5091018,1
5091019,1
5091020,1
5091021,1
5091022,1
5091023,1
5091024,1
5091025,1
5091026,1
5091027,1
5101001,1
5101002,1
5101003,1
5101004,1
5101005,1
5101006,1
5101007,1
5101008,1
5101009,1
5101010,1
5101011,1
5101012,1
5101013,1
5101014,1
5101015,1
5101016,1
5101017,1
5101018,1
5101019,1
5101020,1
5101021,1
5101022,1
5101023,1
5101024,1
5101025,1
5101026,1
5111001,1
5111002,1
5111003,1
5111004,1
5111005,1
5111006,1
5111007,1
5111008,1
5111009,1
5111010,1
5111011,1
5111012,1
5111013,1
5111014,1
5111015,1
5111016,1
5111017,1
5111018,1
5111019,1
5111020,1
5111021,1
5111022,1
5111023,1
5111024,1
5111025,1
5111026,1
5160001,1
5160002,1
5160003,1
5160004,1
5160005,1
5160006,1
5160007,1
5160008,1
5160009,1
5160010,1
5160011,1
5160012,1
5170001,1
5170002,1
5170003,1
5170004,1
5170005,1
5170006,1
5170007,1
5170008,1
5170009,1
5170010,1
5170011,1
5170012,1
5180001,1
5180002,1
5180003,1
5180004,1
5180005,1
5180006,1
5180007,1
5180008,1
