Œ^Ž®,ƒ}ƒNƒ”Ô†,³“š,o—Í
BLPSQTAG8-L29.3,#100,,<-- is not numeric
BLPSQTAG8-L29.3,#100,,9
BLPSQTAG8-L29.3,#101,,<-- is not numeric
BLPSQTAG8-L29.3,#101,,1
BLPSQTAG8-L29.3,#102,,<-- is not numeric
BLPSQTAG8-L29.3,#102,,8
BLPSQTAG8-L29.3,#103,,<-- is not numeric
BLPSQTAG8-L29.3,#104,,<-- is not numeric
BLPSQTAG8-L29.3,#104,,29.3
BLPSQTAG8-L29.3,#105,,<-- is not numeric
BLPSQTAG8-L29.3,#106,,<-- is not numeric
BLPSQTAG8-L29.3,#106,,0.5
BLPSQTAG8-L29.3,#107,,<-- is not numeric
BLPSQTAG8-L29.3,#107,,5
BLPSQTAG8-L29.3,#108,,<-- is not numeric
BLPSQTAG8-L29.3,#109,,<-- is not numeric
BLPSQTAG8-L29.3,#109,,15
BLPSQTAG8-L29.3,#110,,<-- is not numeric
BLPSQTAG8-L29.3,#110,,4
BLPSQTAG8-L29.3,#111,,<-- is not numeric
BLPSQTAG8-L29.3,#112,,<-- is not numeric
BLPSQTAG8-L29.3,#112,,33.45
BLPSQTAG8-L29.3,#113,,<-- is not numeric
BLPSQTAG8-L29.3,#113,,0.15
BLPSQTAG8-L29.3,#114,,<-- is not numeric
BLPSQTAG8-L29.3,#114,,0.15
BLPSQTAG8-L29.3,#115,,<-- is not numeric
BLPSQTAG8-L29.3,#116,,<-- is not numeric
BLPSQTAG8-L29.3,#116,,1.7
BLPSQTAG8-L29.3,#117,,<-- is not numeric
BLPSQTAG8-L29.3,#117,,14.5
BLPSQTAG8-L29.3,#118,,<-- is not numeric
BLPSQTAG8-L29.3,#118,,2.944
BLPSQTAG8-L29.3,#119,,<-- is not numeric
BLPSQTAG8-L29.3,#119,,9.6
BLPSQTAG8-L29.3,#120,,<-- is not numeric
BLPSQTAG8-L29.3,#121,,<-- is not numeric
BLPSQTAG8-L29.3,#121,,1.6
BLPSQTAG8-L29.3,#122,,<-- is not numeric
BLPSQTAG8-L29.3,#122,,8
BLPSQTAG8-L29.3,#123,,<-- is not numeric
BLPSQTAG8-L29.3,#123,,4
BLPSQTAG8-L29.3,#124,,<-- is not numeric
BLPSQTAG8-L29.3,#124,,4
BLPSQTAG8-L29.3,#125,,<-- is not numeric
BLPSQTAG8-L29.3,#126,,<-- is not numeric
BLPSQTAG8-L29.3,#126,,1.78
BLPSQTAG8-L29.3,#127,,<-- is not numeric
BLPSQTAG8-L29.3,#128,,<-- is not numeric
BLPSQTAG8-L29.3,#128,,100
BLPSQTAG8-L29.3,#129,,<-- is not numeric
BLPSQTAG8-L29.3,#129,,202
BLPSQTAG8-L29.3,#130,,<-- is not numeric
BLPSQTAG8-L29.3,#130,,305
BLPSQTAG8-L29.3,#131,,<-- is not numeric
BLPSQTAG8-L29.3,#131,,1
BLPSQTAG8-L29.3,#132,,<-- is not numeric
BLPSQTAG8-L29.3,#132,,1
BLPSQTAG8-L29.3,#133,,<-- is not numeric
BLPSQTAG8-L29.3,#133,,604
BLPSQTAG8-L29.3,#134,,<-- is not numeric
BLPSQTAG8-L29.3,#134,,701
BLPSQTAG8-L29.3,#135,,<-- is not numeric
BLPSQTAG8-L29.3,#135,,800
BLPSQTAG8-L29.3,#136,,<-- is not numeric
BLPSQTAG8-L29.3,#136,,908
BLPSQTAG8-L29.3,#137,,<-- is not numeric
BLPSQTAG8-L29.3,#137,,1
BLPSQTAG8-L29.3,#138,,<-- is not numeric
BLPSQTAG8-L29.3,#138,,1100
BLPSQTAG8-L29.3,#139,,<-- is not numeric
BLPSQTAG8-L29.3,#140,,<-- is not numeric
BLPSQTAG8-L29.3,#141,,<-- is not numeric
BLPSQTAG8-L29.3,#142,,<-- is not numeric
BLPSQTAG8-L29.3,#142,,200
BLPSQTAG8-L29.3,#143,,<-- is not numeric
BLPSQTAG8-L29.3,#143,,5000
BLPSQTAG8-L29.3,#144,,<-- is not numeric
BLPSQTAG8-L29.3,#144,,0.08
BLPSQTAG8-L29.3,#145,,<-- is not numeric
BLPSQTAG8-L29.3,#146,,<-- is not numeric
BLPSQTAG8-L29.3,#147,,<-- is not numeric
BLPSQTAG8-L29.3,#148,,<-- is not numeric
BLPSQTAG8-L29.3,#149,,<-- is not numeric
BLPSQTAG8-L29.3,#150,,<-- is not numeric
BLPSQTAG8-L29.3,#151,,<-- is not numeric
BLPSQTAG8-L29.3,#151,,1380
BLPSQTAG8-L29.3,#152,,<-- is not numeric
BLPSQTAG8-L29.3,#152,,0.13
BLPSQTAG8-L29.3,#153,,<-- is not numeric
BLPSQTAG8-L29.3,#154,,<-- is not numeric
BLPSQTAG8-L29.3,#154,,460
BLPSQTAG8-L29.3,#155,,<-- is not numeric
BLPSQTAG8-L29.3,#155,,0.14
BLPSQTAG8-L29.3,#156,,<-- is not numeric
BLPSQTAG8-L29.3,#157,,<-- is not numeric
BLPSQTAG8-L29.3,#157,,950
