NO,TYPE,DRAWING,DISPFLG,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#500,#501,#502,#503,#504,#505,#506,#507,#508,#509,#510,#511,#512,#513,#514,#515,#516,#517,#518,#519,#520,#521,#522,#523,#524,#525,#526,#527,#528,#529,#530,#531,#532,#533,#534,#535,#536,#537,#538,#539,#540,#541,#542,#543,#544,#545,#546,#547,#548,#549,#550,#602,#603,#605
1,GPA18GT15040_A,test1-0.jpg,1,defineH,defineP,defineN,defineV,defineF,defineY,defineC,defineNK,,defineBC,defineBTC,defineTL,relationLWJ,1,1,0,relationHPN,relationTSR,0,,,relationZJG,1.65,8.59,8.13,5,,,,,,6,,,,,,,,,8.3,,,,,,,,,,,,,,,,,relationBTC,relationTL,relationBC,,,,switchJD,0,relationYSTA
2,GPA20GT15040_A,test1-0.jpg,1,defineH,defineP,defineN,defineV,defineF,defineY,defineC,defineNK,,defineBC,defineBTC,defineTL,relationLWJ,1,1,0,relationHPN,relationTSR,0,,,relationZJG,1.65,9.55,9.09,5,,,,,,7,,,,,,,,,8.3,,,,,,,,,,,,,,,,,relationBTC,relationTL,relationBC,,,,switchJD,0,relationYSTA
3,GPA24GT15040_A,test1-0.jpg,1,defineH,defineP,defineN,defineV,defineF,defineY,defineC,defineNK,,defineBC,defineBTC,defineTL,relationLWJ,1,1,0,relationHPN,relationTSR,0,,,relationZJG,1.65,11.46,11,5,,,,,,8,,,,,,,,,8.3,,,,,,,,,,,,,,,,,relationBTC,relationTL,relationBC,,,,switchJD,0,relationYSTA
4,GPA30GT15040_A,test1-0.jpg,1,defineH,defineP,defineN,defineV,defineF,defineY,defineC,defineNK,,defineBC,defineBTC,defineTL,relationLWJ,1,1,0,relationHPN,relationTSR,0,,,relationZJG,1.65,14.32,13.86,5,,,,,,10,,,,,,,,,8.3,,,,,,,,,,,,,,,,,relationBTC,relationTL,relationBC,,,,switchJD,0,relationYSTA
5,GPA36GT15040_A,test1-0.jpg,1,defineH,defineP,defineN,defineV,defineF,defineY,defineC,defineNK,,defineBC,defineBTC,defineTL,relationLWJ,1,1,0,relationHPN,relationTSR,0,,,relationZJG,1.65,17.19,16.73,5,,,,,,13,,,,,,,,,8.3,,,,,,,,,,,,,,,,,relationBTC,relationTL,relationBC,,,,switchJD,0,relationYSTA
6,GPA30GT15040_B,test1-1.jpg,1,defineH,defineP,defineN,defineV,defineF,defineY,defineC,defineNK,,defineBC,defineBTC,defineTL,relationLWJ,1,1,1,relationHPN,relationTSR,0,,,relationZJG,1.65,14.32,13.86,5,,,8,,,10,,,16,,,,,,8.3,,,,,,,,,,,,,,,,,relationBTC,relationTL,relationBC,,,,switchJD,0,relationYSTA
7,GPA36GT15040_B,test1-1.jpg,1,defineH,defineP,defineN,defineV,defineF,defineY,defineC,defineNK,,defineBC,defineBTC,defineTL,relationLWJ,1,1,1,relationHPN,relationTSR,0,,,relationZJG,1.65,17.19,16.73,5,,,10,,,13,,,16,,,,,,8.3,,,,,,,,,,,,,,,,,relationBTC,relationTL,relationBC,,,,switchJD,0,relationYSTA
8,GPA14GT2040_A,test1-0.jpg,1,defineH,defineP,defineN,defineV,defineF,defineY,defineC,defineNK,,defineBC,defineBTC,defineTL,relationLWJ,1,1,0,relationHPN,relationTSR,0,,,relationZJG,1.65,8.91,8.4,5,,,,,,6,,,,,,,,,8.3,,,,,,,,,,,,,,,,,relationBTC,relationTL,relationBC,,,,switchJD,0,relationYSTA
9,GPA15GT2040_A,test1-0.jpg,1,defineH,defineP,defineN,defineV,defineF,defineY,defineC,defineNK,,defineBC,defineBTC,defineTL,relationLWJ,1,1,0,relationHPN,relationTSR,0,,,relationZJG,1.65,9.55,9.04,5,,,,,,7,,,,,,,,,8.3,,,,,,,,,,,,,,,,,relationBTC,relationTL,relationBC,,,,switchJD,0,relationYSTA
10,GPA16GT2040_A,test1-0.jpg,1,defineH,defineP,defineN,defineV,defineF,defineY,defineC,defineNK,,defineBC,defineBTC,defineTL,relationLWJ,1,1,0,relationHPN,relationTSR,0,,,relationZJG,1.65,10.19,9.68,5,,,,,,7,,,,,,,,,8.3,,,,,,,,,,,,,,,,,relationBTC,relationTL,relationBC,,,,switchJD,0,relationYSTA
