DEFINE,STR,BEFORE,AFTER,CHNGVL,CALC
defineL,L,L0,0,,
defineL,L,L1,1,,
defineL,L,L2,2,,
defineL,L,L3,3,,
defineL,L,L4,4,,
defineL,L,L5,5,,
defineL,L,L6,6,,
defineL,L,L7,7,,
defineL,L,L8,8,,
defineL,L,L9,9,,
defineL,L,-,0,,
defineLC,LC,LC0,0,,
defineLC,LC,LC1,1,,
defineLC,LC,LC2,2,,
defineLC,LC,LC3,3,,
defineLC,LC,LC4,4,,
defineLC,LC,LC5,5,,
defineLC,LC,LC6,6,,
defineLC,LC,LC7,7,,
defineLC,LC,LC8,8,,
defineLC,LC,LC9,9,,
defineLC,LC,LC,1,,
defineLC,LC,-,0,,
defineX,X,X0,0,,
defineX,X,X1,1,,
defineX,X,X2,2,,
defineX,X,X3,3,,
defineX,X,X4,4,,
defineX,X,X5,5,,
defineX,X,X6,6,,
defineX,X,X7,7,,
defineX,X,X8,8,,
defineX,X,X9,9,,
defineX,X,-,0,,
defineY,Y,Y0,0,,
defineY,Y,Y1,1,,
defineY,Y,Y2,2,,
defineY,Y,Y3,3,,
defineY,Y,Y4,4,,
defineY,Y,Y5,5,,
defineY,Y,Y6,6,,
defineY,Y,Y7,7,,
defineY,Y,Y8,8,,
defineY,Y,Y9,9,,
defineY,Y,-,0,,
defineZ,Z,Z0,0,,
defineZ,Z,Z1,1,,
defineZ,Z,Z2,2,,
defineZ,Z,Z3,3,,
defineZ,Z,Z4,4,,
defineZ,Z,Z5,5,,
defineZ,Z,Z6,6,,
defineZ,Z,Z7,7,,
defineZ,Z,Z8,8,,
defineZ,Z,Z9,9,,
defineZ,Z,-,0,,
defineH,H,H0,0,,
defineH,H,H1,1,,
defineH,H,H2,2,,
defineH,H,H3,3,,
defineH,H,H4,4,,
defineH,H,H5,5,,
defineH,H,H6,6,,
defineH,H,H7,7,,
defineH,H,H8,8,,
defineH,H,H9,9,,
defineH,H,-,0,,
defineP,P,P0,0,,
defineP,P,P1,1,,
defineP,P,P2,2,,
defineP,P,P3,3,,
defineP,P,P4,4,,
defineP,P,P5,5,,
defineP,P,P6,6,,
defineP,P,P7,7,,
defineP,P,P8,8,,
defineP,P,P9,9,,
defineP,P,-,0,,
defineS,S,S0,0,,
defineS,S,S1,1,,
defineS,S,S2,2,,
defineS,S,S3,3,,
defineS,S,S4,4,,
defineS,S,S5,5,,
defineS,S,S6,6,,
defineS,S,S7,7,,
defineS,S,S8,8,,
defineS,S,S9,9,,
defineS,S,-,0,,
defineB,B,B0,0,,
defineB,B,B1,1,,
defineB,B,B2,2,,
defineB,B,B3,3,,
defineB,B,B4,4,,
defineB,B,B5,5,,
defineB,B,B6,6,,
defineB,B,B7,7,,
defineB,B,B8,8,,
defineB,B,B9,9,,
defineB,B,-,0,,
defined,d,d0,0,,
defined,d,d1,1,,
defined,d,d2,2,,
defined,d,d3,3,,
defined,d,d4,4,,
defined,d,d5,5,,
defined,d,d6,6,,
defined,d,d7,7,,
defined,d,d8,8,,
defined,d,d9,9,,
defined,d,-,0,,
defineM,M,M0,0,,
defineM,M,M1,1,,
defineM,M,M2,2,,
defineM,M,M3,3,,
defineM,M,M4,4,,
defineM,M,M5,5,,
defineM,M,M6,6,,
defineM,M,M7,7,,
defineM,M,M8,8,,
defineM,M,M9,9,,
defineM,M,-,0,,
defineN,N,N0,0,,
defineN,N,N1,1,,
defineN,N,N2,2,,
defineN,N,N3,3,,
defineN,N,N4,4,,
defineN,N,N5,5,,
defineN,N,N6,6,,
defineN,N,N7,7,,
defineN,N,N8,8,,
defineN,N,N9,9,,
defineN,N,-,0,,
defineT,T,T0,0,,
defineT,T,T1,1,,
defineT,T,T2,2,,
defineT,T,T3,3,,
defineT,T,T4,4,,
defineT,T,T5,5,,
defineT,T,T6,6,,
defineT,T,T7,7,,
defineT,T,T8,8,,
defineT,T,T9,9,,
defineT,T,-,0,,
defineDC,DC,DC0,0,,
defineDC,DC,DC1,1,,
defineDC,DC,DC2,2,,
defineDC,DC,DC3,3,,
defineDC,DC,DC4,4,,
defineDC,DC,DC5,5,,
defineDC,DC,DC6,6,,
defineDC,DC,DC7,7,,
defineDC,DC,DC8,8,,
defineDC,DC,DC9,9,,
defineDC,DC,-,0,,
defineF,F,F0,0,,
defineF,F,F1,1,,
defineF,F,F2,2,,
defineF,F,F3,3,,
defineF,F,F4,4,,
defineF,F,F5,5,,
defineF,F,F6,6,,
defineF,F,F7,7,,
defineF,F,F8,8,,
defineF,F,F9,9,,
defineF,F,-,0,,
defineD1_,D1_,D1_0,0,,
defineD1_,D1_,D1_1,1,,
defineD1_,D1_,D1_2,2,,
defineD1_,D1_,D1_3,3,,
defineD1_,D1_,D1_4,4,,
defineD1_,D1_,D1_5,5,,
defineD1_,D1_,D1_6,6,,
defineD1_,D1_,D1_7,7,,
defineD1_,D1_,D1_8,8,,
defineD1_,D1_,D1_9,9,,
defineD1_,D1_,-,0,,
definedh,dh,dh0,0,,
definedh,dh,dh1,1,,
definedh,dh,dh2,2,,
definedh,dh,dh3,3,,
definedh,dh,dh4,4,,
definedh,dh,dh5,5,,
definedh,dh,dh6,6,,
definedh,dh,dh7,7,,
definedh,dh,dh8,8,,
definedh,dh,dh9,9,,
definedh,dh,-,0,,
