DEFINE,VALUE,1,2,3,4,5,6,7,8,,,,,,,,
relationL,#1,and,#1,>,0,,,,,,,,,,,,
relationL,#2,and,#2,>,0,,,,,,,,,,,,
relationLB,calc1,,,,,,,,,,,,,,,,
relationPS,0,and,#534,=,0,,,,,,,,,,,,
relationPS,#3,and,#534,=,1,,,,,,,,,,,,
relationPS,#4,and,#534,=,2,,,,,,,,,,,,
relationMN,0,and,#543,=,0,,,,,,,,,,,,
relationMN,#5,and,#543,=,1,,,,,,,,,,,,
relationMN,#6,and,#543,=,2,,,,,,,,,,,,
relationKI,#7,and,#524,=,0,,,,,,,,,,,,
relationKI,#9,and,#506,<,50,and,#524,=,1,,,,,,,,
relationKI,#8,and,#524,=,1,,,,,,,,,,,,
relationSR,0.1,and,#541,=,50,and,#506,=,160,,,,,,,,
relationSR,0.095,and,#541,=,50,and,#506,=,150,,,,,,,,
relationSR,0.09,and,#541,=,50,and,#506,=,140,,,,,,,,
relationSR,0.085,and,#541,=,50,and,#506,=,130,,,,,,,,
relationSR,0.08,and,#541,=,50,and,#506,=,120,,,,,,,,
relationSR,0.075,and,#541,=,50,and,#506,=,110,,,,,,,,
relationSR,0.07,and,#541,=,50,and,#506,=,100,,,,,,,,
relationSR,0.065,and,#541,=,50,and,#506,=,90,,,,,,,,
relationSR,0.06,and,#541,=,50,and,#506,=,80,,,,,,,,
relationSR,0.055,and,#541,=,50,and,#506,=,70,,,,,,,,
relationSR,0.05,and,#541,=,50,and,#506,=,60,,,,,,,,
relationSR,0.05,and,#541,=,50,and,#506,=,50,,,,,,,,
relationSR,0.05,and,#541,=,50,and,#506,=,40,,,,,,,,
relationSR,0.105,and,#541,=,60,and,#506,=,160,,,,,,,,
relationSR,0.1,and,#541,=,60,and,#506,=,150,,,,,,,,
relationSR,0.095,and,#541,=,60,and,#506,=,140,,,,,,,,
relationSR,0.09,and,#541,=,60,and,#506,=,130,,,,,,,,
relationSR,0.085,and,#541,=,60,and,#506,=,120,,,,,,,,
relationSR,0.08,and,#541,=,60,and,#506,=,110,,,,,,,,
relationSR,0.075,and,#541,=,60,and,#506,=,100,,,,,,,,
relationSR,0.07,and,#541,=,60,and,#506,=,90,,,,,,,,
relationSR,0.065,and,#541,=,60,and,#506,=,80,,,,,,,,
relationSR,0.06,and,#541,=,60,and,#506,=,70,,,,,,,,
relationSR,0.06,and,#541,=,60,and,#506,=,60,,,,,,,,
relationSR,0.06,and,#541,=,60,and,#506,=,50,,,,,,,,
relationSR,0.06,and,#541,=,60,and,#506,=,40,,,,,,,,
relationSR,0.11,and,#541,=,70,and,#506,=,160,,,,,,,,
relationSR,0.105,and,#541,=,70,and,#506,=,150,,,,,,,,
relationSR,0.1,and,#541,=,70,and,#506,=,140,,,,,,,,
relationSR,0.095,and,#541,=,70,and,#506,=,130,,,,,,,,
relationSR,0.09,and,#541,=,70,and,#506,=,120,,,,,,,,
relationSR,0.085,and,#541,=,70,and,#506,=,110,,,,,,,,
relationSR,0.08,and,#541,=,70,and,#506,=,100,,,,,,,,
relationSR,0.075,and,#541,=,70,and,#506,=,90,,,,,,,,
relationSR,0.07,and,#541,=,70,and,#506,=,80,,,,,,,,
relationSR,0.07,and,#541,=,70,and,#506,=,70,,,,,,,,
relationSR,0.07,and,#541,=,70,and,#506,=,60,,,,,,,,
relationSR,0.07,and,#541,=,70,and,#506,=,50,,,,,,,,
relationSR,0.07,and,#541,=,70,and,#506,=,40,,,,,,,,
relationSR,0.113,and,#541,=,75,and,#506,=,160,,,,,,,,
relationSR,0.108,and,#541,=,75,and,#506,=,150,,,,,,,,
relationSR,0.103,and,#541,=,75,and,#506,=,140,,,,,,,,
relationSR,0.098,and,#541,=,75,and,#506,=,130,,,,,,,,
relationSR,0.093,and,#541,=,75,and,#506,=,120,,,,,,,,
relationSR,0.088,and,#541,=,75,and,#506,=,110,,,,,,,,
