DEFINE,VALUE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
relationHPN,#1,and,#1,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationHPN,#2,and,#2,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationHPN,#3,and,#3,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationHPN,#4,and,#4,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationHPN,#5,and,#5,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationHPN,#7,and,#7,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationHPN,#8,and,#8,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationHPN,#550,and,#4,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationHPN,#550,and,#5,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationHPN,#550,and,#6,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationHPN,#550,and,#1,=,,and,#2,=,,and,#3,=,,and,#4,=,,and,#5,=,,and,#6,=,,and,#7,=,,and,#8,=,
relationPN,#5,and,#5,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationPN,#6,and,#6,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationPN,#7,and,#7,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationPN,0,ang,#5,=,,and,#6,=,,and,#7,=,,,,,,,,,,,,,,,,,,,,,
relationBC,#10,and,#10,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationBC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationBTC,#11,and,#11,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationBTC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationTL,#12,and,#12,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationTL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationABC,calcABC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationABCD,calcABCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationXS,1,and,#1,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationXS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationL,calcL,and,#1,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationL,#514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationW,#1,and,#1,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationW,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationH,#2,and,#2,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationH,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationD,46,and,#504,<,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationD,55,and,#504,>,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationL1,calcL1,and,#504,<,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationL1,calcL2,and,#504,>,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationL2,calcL11,and,#504,<,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationL2,calcL22,and,#504,>,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationFC,#6,and,#6,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationFC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationZJG,0,and,#545,=,0,and,#547,=,0,,,,,,,,,,,,,,,,,,,,,,,,
relationZJG,1,and,#545,>,0,and,#547,=,0,,,,,,,,,,,,,,,,,,,,,,,,
relationZJG,2,and,#547,>,0,and,#545,=,0,,,,,,,,,,,,,,,,,,,,,,,,
relationZJ1,26,and,#5,>,0,and,#6,>,0,and,#10,>,0,and,#11,>,0,,,,,,,,,,,,,,,,
relationZJ1,23,and,#5,>,0,and,#6,>,0,and,#10,>,0,,,,,,,,,,,,,,,,,,,,
relationZJ1,24,and,#5,>,0,and,#6,>,0,and,#11,>,0,,,,,,,,,,,,,,,,,,,,
relationZJ1,14,and,#5,>,0,and,#10,>,0,and,#11,>,0,,,,,,,,,,,,,,,,,,,,
relationZJ1,25,and,#6,>,0,and,#10,>,0,and,#11,>,0,,,,,,,,,,,,,,,,,,,,
relationZJ1,12,and,#5,>,0,and,#6,>,0,,,,,,,,,,,,,,,,,,,,,,,,
relationZJ1,11,and,#5,>,0,and,#10,>,0,,,,,,,,,,,,,,,,,,,,,,,,
relationZJ1,22,and,#5,>,0,and,#11,>,0,,,,,,,,,,,,,,,,,,,,,,,,
relationZJ1,20,and,#6,>,0,and,#10,>,0,,,,,,,,,,,,,,,,,,,,,,,,
relationZJ1,13,and,#6,>,0,and,#11,>,0,,,,,,,,,,,,,,,,,,,,,,,,
relationZJ1,21,and,#10,>,0,and,#11,>,0,,,,,,,,,,,,,,,,,,,,,,,,
relationZJ1,3,and,#5,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationZJ1,5,and,#6,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationZJ1,2,and,#10,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationZJ1,6,and,#11,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationZJ1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationZJ2,13,and,#6,>,0,and,#11,>,0,,,,,,,,,,,,,,,,,,,,,,,,
relationZJ2,9,and,#6,>,0,and,#8,>,0,,,,,,,,,,,,,,,,,,,,,,,,
relationZJ2,5,and,#6,>,0,and,#8,=,,,,,,,,,,,,,,,,,,,,,,,,,
relationZJ2,6,and,#11,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationZJ2,7,and,#7,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationZJ2,8,and,#8,>,0,and,#6,=,,,,,,,,,,,,,,,,,,,,,,,,,
relationZJ2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationZJ3,4,and,#9,>,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationZJ3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationTSR,2.8,and,#504,=,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationTSR,3.8,and,#504,=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationTSR,4.8,and,#504,=,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationTSR,5.8,and,#504,=,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationTSR,6.1,and,#504,=,6.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationTSR,6.8,and,#504,=,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationTSR,7.8,and,#504,=,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationTSR,8.8,and,#504,=,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationTSR,9.8,and,#504,=,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationTSR,10.5,and,#504,=,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationTSR,11.8,and,#504,=,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationTSR,12.5,and,#504,=,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationTSR,13,and,#504,=,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationTSR,14,and,#504,=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationTSR,15,and,#504,>=,16,and,#504,<=,17,,,,,,,,,,,,,,,,,,,,,,,,
relationTSR,17,and,#504,>=,18,and,#504,<=,19,,,,,,,,,,,,,,,,,,,,,,,,
relationTSR,19,and,#504,>=,20,and,#504,<=,21,,,,,,,,,,,,,,,,,,,,,,,,
relationTSR,21,and,#504,>=,22,and,#504,<=,24,,,,,,,,,,,,,,,,,,,,,,,,
relationTSR,24,and,#504,>=,25,and,#504,<=,26,,,,,,,,,,,,,,,,,,,,,,,,
relationTSR,26,and,#504,>=,27,and,#504,<=,28,,,,,,,,,,,,,,,,,,,,,,,,
relationTSR,28,and,#504,>=,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationLWJ,45,and,#512,<,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationLWJ,50,and,#512,>=,44,and,#512,<,48,,,,,,,,,,,,,,,,,,,,,,,,
relationLWJ,60,and,#512,>=,48,and,#512,<,58,,,,,,,,,,,,,,,,,,,,,,,,
relationLWJ,65,and,#512,>=,58,and,#512,<=,63,,,,,,,,,,,,,,,,,,,,,,,,
relationLWJ,70,and,#512,>,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationLWJ1,45,and,#516,<,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationLWJ1,50,and,#516,>=,44,and,#516,<,48,,,,,,,,,,,,,,,,,,,,,,,,
relationLWJ1,60,and,#516,>=,48,and,#516,<,58,,,,,,,,,,,,,,,,,,,,,,,,
relationLWJ1,65,and,#516,>=,58,and,#516,<=,63,,,,,,,,,,,,,,,,,,,,,,,,
relationLWJ1,70,and,#516,>,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationLWJ2,45,and,#517,<,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationLWJ2,50,and,#517,>=,44,and,#517,<,48,,,,,,,,,,,,,,,,,,,,,,,,
relationLWJ2,60,and,#517,>=,48,and,#517,<,58,,,,,,,,,,,,,,,,,,,,,,,,
relationLWJ2,65,and,#517,>=,58,and,#517,<=,63,,,,,,,,,,,,,,,,,,,,,,,,
relationLWJ2,70,and,#517,>,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationYSTA,10,and,#505,=,8.8,or,#505,=,7.8,,,,,,,,,,,,,,,,,,,,,,,,
relationYSTA,5,and,#505,>,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationYSTA,6,and,#505,=,9.8,or,#505,=,10.5,,,,,,,,,,,,,,,,,,,,,,,,
