NO,TYPE,DEFINE1,DEFINE2
1,GPT22GT3060-A,,
2,GPT24GT3060-A,,
3,GPT25GT3060-A,,
4,GPT26GT3060-A,,
5,GPT28GT3060-A,,
6,GPT30GT3060-A,,
7,GPT32GT3060-A,,
8,GPT34GT3060-A,,
9,GPT36GT3060-A,,
10,GPT40GT3060-A,,
11,GPT22GT3090-A,,
12,GPT24GT3090-A,,
13,GPT25GT3090-A,,
14,GPT26GT3090-A,,
15,GPT28GT3090-A,,
16,GPT30GT3090-A,,
17,GPT32GT3090-A,,
18,GPT34GT3090-A,,
19,GPT36GT3090-A,,
20,GPT40GT3090-A,,
21,GPT22GT3150-A,,
22,GPT24GT3150-A,,
23,GPT25GT3150-A,,
24,GPT26GT3150-A,,
25,GPT28GT3150-A,,
26,GPT30GT3150-A,,
27,GPT32GT3150-A,,
28,GPT34GT3150-A,,
29,GPT36GT3150-A,,
30,GPT40GT3150-A,,
31,GPT22GT3060-B,,
32,GPT24GT3060-B,,
33,GPT25GT3060-B,,
34,GPT26GT3060-B,,
35,GPT28GT3060-B,,
36,GPT30GT3060-B,,
37,GPT32GT3060-B,,
38,GPT34GT3060-B,,
39,GPT36GT3060-B,,
40,GPT40GT3060-B,,
41,GPT22GT3090-B,,
42,GPT24GT3090-B,,
43,GPT25GT3090-B,,
44,GPT26GT3090-B,,
45,GPT28GT3090-B,,
46,GPT30GT3090-B,,
47,GPT32GT3090-B,,
48,GPT34GT3090-B,,
49,GPT36GT3090-B,,
50,GPT40GT3090-B,,
51,GPT22GT3150-B,,
52,GPT24GT3150-B,,
53,GPT25GT3150-B,,
54,GPT26GT3150-B,,
55,GPT28GT3150-B,,
56,GPT30GT3150-B,,
57,GPT32GT3150-B,,
58,GPT34GT3150-B,,
59,GPT36GT3150-B,,
60,GPT40GT3150-B,,
61,GPM22GT3060-A,,
62,GPM24GT3060-A,,
63,GPM25GT3060-A,,
64,GPM26GT3060-A,,
65,GPM28GT3060-A,,
66,GPM30GT3060-A,,
67,GPM32GT3060-A,,
68,GPM34GT3060-A,,
69,GPM36GT3060-A,,
70,GPM40GT3060-A,,
71,GPM22GT3090-A,,
72,GPM24GT3090-A,,
73,GPM25GT3090-A,,
74,GPM26GT3090-A,,
75,GPM28GT3090-A,,
76,GPM30GT3090-A,,
77,GPM32GT3090-A,,
78,GPM34GT3090-A,,
79,GPM36GT3090-A,,
80,GPM40GT3090-A,,
81,GPM22GT3150-A,,
82,GPM24GT3150-A,,
83,GPM25GT3150-A,,
84,GPM26GT3150-A,,
85,GPM28GT3150-A,,
86,GPM30GT3150-A,,
87,GPM32GT3150-A,,
88,GPM34GT3150-A,,
89,GPM36GT3150-A,,
90,GPM40GT3150-A,,
91,GPM22GT3060-B,,
92,GPM24GT3060-B,,
93,GPM25GT3060-B,,
94,GPM26GT3060-B,,
95,GPM28GT3060-B,,
96,GPM30GT3060-B,,
97,GPM32GT3060-B,,
98,GPM34GT3060-B,,
99,GPM36GT3060-B,,
100,GPM40GT3060-B,,
101,GPM22GT3090-B,,
102,GPM24GT3090-B,,
103,GPM25GT3090-B,,
104,GPM26GT3090-B,,
105,GPM28GT3090-B,,
106,GPM30GT3090-B,,
107,GPM32GT3090-B,,
108,GPM34GT3090-B,,
109,GPM36GT3090-B,,
110,GPM40GT3090-B,,
111,GPM22GT3150-B,,
112,GPM24GT3150-B,,
113,GPM25GT3150-B,,
114,GPM26GT3150-B,,
115,GPM28GT3150-B,,
116,GPM30GT3150-B,,
117,GPM32GT3150-B,,
118,GPM34GT3150-B,,
119,GPM36GT3150-B,,
120,GPM40GT3150-B,,
121,GPT14GT5090-A,,
122,GPT15GT5090-A,,
123,GPT16GT5090-A,,
124,GPT18GT5090-A,,
125,GPT20GT5090-A,,
126,GPT22GT5090-A,,
127,GPT24GT5090-A,,
128,GPT14GT5120-A,,
129,GPT15GT5120-A,,
130,GPT16GT5120-A,,
131,GPT18GT5120-A,,
132,GPT20GT5120-A,,
133,GPT22GT5120-A,,
134,GPT24GT5120-A,,
135,GPT14GT5150-A,,
136,GPT15GT5150-A,,
137,GPT16GT5150-A,,
138,GPT18GT5150-A,,
139,GPT20GT5150-A,,
140,GPT22GT5150-A,,
141,GPT24GT5150-A,,
142,GPT14GT5090-B,,
143,GPT15GT5090-B,,
144,GPT16GT5090-B,,
145,GPT18GT5090-B,,
146,GPT20GT5090-B,,
147,GPT22GT5090-B,,
148,GPT24GT5090-B,,
149,GPT14GT5120-B,,
150,GPT15GT5120-B,,
151,GPT16GT5120-B,,
152,GPT18GT5120-B,,
153,GPT20GT5120-B,,
154,GPT22GT5120-B,,
155,GPT24GT5120-B,,
156,GPT14GT5150-B,,
157,GPT15GT5150-B,,
158,GPT16GT5150-B,,
159,GPT18GT5150-B,,
160,GPT20GT5150-B,,
161,GPT22GT5150-B,,
162,GPT24GT5150-B,,
163,GPM14GT5090-A,,
164,GPM15GT5090-A,,
165,GPM16GT5090-A,,
166,GPM18GT5090-A,,
167,GPM20GT5090-A,,
168,GPM22GT5090-A,,
169,GPM24GT5090-A,,
170,GPM14GT5120-A,,
171,GPM15GT5120-A,,
