DEFINE,VALUE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
relationHPN1,#1,and,#1,>,0,,,,,,,,,,,,,,,,,,,,,,,,
relationHPN1,#2,and,#2,>,0,,,,,,,,,,,,,,,,,,,,,,,,
relationHPN1,#3,and,#3,>,0,,,,,,,,,,,,,,,,,,,,,,,,
relationHPN1,#11,and,#11,>,0,,,,,,,,,,,,,,,,,,,,,,,,
relationHPN1,#12,and,#12,>,0,,,,,,,,,,,,,,,,,,,,,,,,
relationHPN1,#13,and,#13,>,0,,,,,,,,,,,,,,,,,,,,,,,,
relationHPN1,#7,and,#7,>,0,,,,,,,,,,,,,,,,,,,,,,,,
relationBC1,#4,and,#4,>,0,,,,,,,,,,,,,,,,,,,,,,,,
relationBC1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationBTC1,#5,and,#5,>,0,,,,,,,,,,,,,,,,,,,,,,,,
relationBTC1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationTL1,#6,and,#6,>,0,,,,,,,,,,,,,,,,,,,,,,,,
relationTL1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationLWJ,24,and,#512,<=,22,,,,,,,,,,,,,,,,,,,,,,,,
relationLWJ,28,and,#512,>,22,and,#512,<=,26,,,,,,,,,,,,,,,,,,,,
relationLWJ,30,and,#512,>,26,and,#512,<=,28,,,,,,,,,,,,,,,,,,,,
relationLWJ,32,and,#512,>,28,and,#512,<=,30,,,,,,,,,,,,,,,,,,,,
relationLWJ,36,and,#512,>,30,and,#512,<=,34,,,,,,,,,,,,,,,,,,,,
relationLWJ,40,and,#512,>,34,and,#512,<=,38,,,,,,,,,,,,,,,,,,,,
relationLWJ,45,and,#512,>,38,and,#512,<,44,,,,,,,,,,,,,,,,,,,,
relationLWJ,50,and,#512,>=,44,and,#512,<,48,,,,,,,,,,,,,,,,,,,,
relationLWJ,60,and,#512,>=,48,and,#512,<,58,,,,,,,,,,,,,,,,,,,,
relationLWJ,65,and,#512,>=,58,and,#512,<=,63,,,,,,,,,,,,,,,,,,,,
relationLWJ,70,and,#512,>,63,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,2.9,and,#504,=,3.175,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,4.5,and,#504,=,4.763,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,6.1,and,#504,=,6.35,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,7.8,and,#504,=,7.938,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,9.3,and,#504,=,9.525,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,10.5,and,#504,=,11.113,or,#504,=,11,,,,,,,,,,,,,,,,,,,,
relationKKK,11.8,and,#504,=,12.7,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,13,and,#504,=,14.288,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,13,and,#504,=,15.875,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,13,and,#504,=,17.463,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,13,and,#504,=,19.05,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,2.8,and,#504,=,3,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,3.8,and,#504,=,4,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,4.8,and,#504,=,5,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,5.8,and,#504,=,6,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,6.8,and,#504,=,7,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,7.8,and,#504,=,8,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,8.8,and,#504,=,9,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,9.8,and,#504,=,10,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,11.8,and,#504,=,12,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,11.8,and,#504,=,13,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,13,and,#504,=,14,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,13,and,#504,=,15,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,13,and,#504,=,16,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,16.5,and,#504,=,17,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,17,and,#504,=,18,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,17,and,#504,=,19,,,,,,,,,,,,,,,,,,,,,,,,
relationKKK,19,and,#504,>=,20,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationYSTA,10,and,#505,=,8.8,or,#505,=,7.8,,,,,,,,,,,,,,,,,,,,
relationYSTA,5,and,#505,>,11,,,,,,,,,,,,,,,,,,,,,,,,
relationYSTA,6,and,#505,=,9.8,or,#505,=,10.5,,,,,,,,,,,,,,,,,,,,
