MACRO,KIND,DISPFLG,SENDFLG,AUTOSENDFLG,BTNNAME,CHANGEPRG,comment,LABELTXT
#3,load,0,0,0,,,defineP,
#4,load,0,0,0,,,defineS,
#5,load,0,0,0,,,defineM,
#6,load,0,0,0,,,defineN,
#7,load,0,0,0,,,B,
#500,select,1,1,0,ｼﾓｹ､ﾋｳﾐ・,,,
#501,load,1,1,0,,,,
#502,load,1,1,0,,,,
#503,input,1,1,0,PRG,,,
#504,load,1,1,0,,,,
#505,load,1,1,0,,,,
#506,load,1,1,0,,,,
#507,input,1,1,0,E・F,,,
#516,switch,1,1,0,,,,
#534,switch,0,0,0,,,,
#535,input,1,1,0,P・S,,,
#536,load,0,0,0,,,,
#537,load,0,0,0,,,,
#543,switch,0,0,0,,,,
#545,input,1,1,0,M・N,,,
#561,correct,1,1,0,外径テーパー,,,
