NO,TYPE,DEFINE1,DEFINE2
1,GPA18GT15040_A,,
2,GPA20GT15040_A,,
3,GPA24GT15040_A,,
4,GPA30GT15040_A,,
5,GPA36GT15040_A,,
6,GPA30GT15040_B,,
7,GPA36GT15040_B,,
8,GPA14GT2040_A,,
9,GPA15GT2040_A,,
10,GPA16GT2040_A,,
11,GPA18GT2040_A,,
12,GPA20GT2040_A,,
13,GPA21GT2040_A,,
14,GPA14GT2060_A,,
15,GPA15GT2060_A,,
16,GPA16GT2060_A,,
17,GPA18GT2060_A,,
18,GPA20GT2060_A,,
19,GPA21GT2060_A,,
20,GPA14GT2090_A,,
21,GPA15GT2090_A,,
22,GPA16GT2090_A,,
23,GPA18GT2090_A,,
24,GPA20GT2090_A,,
25,GPA21GT2090_A,,
26,GPA22GT2040_A,,
27,GPA24GT2040_A,,
28,GPA25GT2040_A,,
29,GPA26GT2040_A,,
30,GPA28GT2040_A,,
31,GPA30GT2040_A,,
32,GPA32GT2040_A,,
33,GPA34GT2040_A,,
34,GPA36GT2040_A,,
35,GPA38GT2040_A,,
36,GPA40GT2040_A,,
37,GPA44GT2040_A,,
38,GPA48GT2040_A,,
39,GPA50GT2040_A,,
40,GPA60GT2040_A,,
41,GPA22GT2060_A,,
42,GPA24GT2060_A,,
43,GPA25GT2060_A,,
44,GPA26GT2060_A,,
45,GPA28GT2060_A,,
46,GPA30GT2060_A,,
47,GPA32GT2060_A,,
48,GPA34GT2060_A,,
49,GPA36GT2060_A,,
50,GPA38GT2060_A,,
51,GPA40GT2060_A,,
52,GPA44GT2060_A,,
53,GPA48GT2060_A,,
54,GPA50GT2060_A,,
55,GPA60GT2060_A,,
56,GPA22GT2090_A,,
57,GPA24GT2090_A,,
58,GPA25GT2090_A,,
59,GPA26GT2090_A,,
60,GPA28GT2090_A,,
61,GPA30GT2090_A,,
62,GPA32GT2090_A,,
63,GPA34GT2090_A,,
64,GPA36GT2090_A,,
65,GPA38GT2090_A,,
66,GPA40GT2090_A,,
67,GPA44GT2090_A,,
68,GPA48GT2090_A,,
69,GPA50GT2090_A,,
70,GPA60GT2090_A,,
71,GPA22GT2040_B,,
72,GPA24GT2040_B,,
73,GPA25GT2040_B,,
74,GPA26GT2040_B,,
75,GPA28GT2040_B,,
76,GPA30GT2040_B,,
77,GPA32GT2040_B,,
78,GPA34GT2040_B,,
79,GPA36GT2040_B,,
80,GPA38GT2040_B,,
81,GPA40GT2040_B,,
82,GPA44GT2040_B,,
83,GPA48GT2040_B,,
84,GPA50GT2040_B,,
85,GPA60GT2040_B,,
86,GPA22GT2060_B,,
87,GPA24GT2060_B,,
88,GPA25GT2060_B,,
89,GPA26GT2060_B,,
90,GPA28GT2060_B,,
91,GPA30GT2060_B,,
92,GPA32GT2060_B,,
93,GPA34GT2060_B,,
94,GPA36GT2060_B,,
95,GPA38GT2060_B,,
96,GPA40GT2060_B,,
97,GPA44GT2060_B,,
98,GPA48GT2060_B,,
99,GPA50GT2060_B,,
100,GPA60GT2060_B,,
101,GPA22GT2090_B,,
102,GPA24GT2090_B,,
103,GPA25GT2090_B,,
104,GPA26GT2090_B,,
105,GPA28GT2090_B,,
106,GPA30GT2090_B,,
107,GPA32GT2090_B,,
108,GPA34GT2090_B,,
109,GPA36GT2090_B,,
110,GPA38GT2090_B,,
111,GPA40GT2090_B,,
112,GPA44GT2090_B,,
113,GPA48GT2090_B,,
114,GPA50GT2090_B,,
115,GPA60GT2090_B,,
116,GPA16GT3060_A,,
117,GPA18GT3060_A,,
118,GPA20GT3060_A,,
119,GPA16GT3090_A,,
120,GPA18GT3090_A,,
121,GPA20GT3090_A,,
122,GPA16GT3150_A,,
123,GPA18GT3150_A,,
124,GPA20GT3150_A,,
125,GPA22GT3060_A,,
126,GPA24GT3060_A,,
127,GPA25GT3060_A,,
128,GPA26GT3060_A,,
129,GPA28GT3060_A,,
130,GPA30GT3060_A,,
131,GPA32GT3060_A,,
132,GPA34GT3060_A,,
133,GPA36GT3060_A,,
134,GPA40GT3060_A,,
135,GPA44GT3060_A,,
136,GPA48GT3060_A,,
137,GPA50GT3060_A,,
138,GPA60GT3060_A,,
139,GPA22GT3090_A,,
140,GPA24GT3090_A,,
141,GPA25GT3090_A,,
142,GPA26GT3090_A,,
143,GPA28GT3090_A,,
144,GPA30GT3090_A,,
145,GPA32GT3090_A,,
146,GPA34GT3090_A,,
147,GPA36GT3090_A,,
148,GPA40GT3090_A,,
149,GPA44GT3090_A,,
150,GPA48GT3090_A,,
151,GPA50GT3090_A,,
152,GPA60GT3090_A,,
153,GPA22GT3150_A,,
154,GPA24GT3150_A,,
155,GPA25GT3150_A,,
156,GPA26GT3150_A,,
157,GPA28GT3150_A,,
158,GPA30GT3150_A,,
159,GPA32GT3150_A,,
160,GPA34GT3150_A,,
161,GPA36GT3150_A,,
162,GPA40GT3150_A,,
163,GPA44GT3150_A,,
164,GPA48GT3150_A,,
165,GPA50GT3150_A,,
166,GPA60GT3150_A,,
167,GPA22GT3060_B,,
168,GPA24GT3060_B,,
169,GPA25GT3060_B,,
170,GPA26GT3060_B,,
171,GPA28GT3060_B,,
172,GPA30GT3060_B,,
173,GPA32GT3060_B,,
174,GPA34GT3060_B,,
175,GPA36GT3060_B,,
176,GPA40GT3060_B,,
177,GPA44GT3060_B,,
178,GPA48GT3060_B,,
179,GPA50GT3060_B,,
180,GPA60GT3060_B,,
181,GPA22GT3090_B,,
182,GPA24GT3090_B,,
183,GPA25GT3090_B,,
184,GPA26GT3090_B,,
185,GPA28GT3090_B,,
186,GPA30GT3090_B,,
187,GPA32GT3090_B,,
188,GPA34GT3090_B,,
189,GPA36GT3090_B,,
190,GPA40GT3090_B,,
191,GPA44GT3090_B,,
192,GPA48GT3090_B,,
193,GPA50GT3090_B,,
194,GPA60GT3090_B,,
195,GPA22GT3150_B,,
196,GPA24GT3150_B,,
197,GPA25GT3150_B,,
198,GPA26GT3150_B,,
199,GPA28GT3150_B,,
200,GPA30GT3150_B,,
201,GPA32GT3150_B,,
202,GPA34GT3150_B,,
203,GPA36GT3150_B,,
204,GPA40GT3150_B,,
205,GPA44GT3150_B,,
206,GPA48GT3150_B,,
207,GPA50GT3150_B,,
208,GPA60GT3150_B,,
209,GPT16GT3060_A,,
210,GPT18GT3060_A,,
211,GPT20GT3060_A,,
212,GPT16GT3090_A,,
213,GPT18GT3090_A,,
214,GPT20GT3090_A,,
215,GPT16GT3150_A,,
216,GPT18GT3150_A,,
217,GPT20GT3150_A,,
218,GPT22GT3060_A,,
219,GPT24GT3060_A,,
220,GPT25GT3060_A,,
221,GPT26GT3060_A,,
222,GPT28GT3060_A,,
223,GPT30GT3060_A,,
224,GPT32GT3060_A,,
225,GPT34GT3060_A,,
226,GPT36GT3060_A,,
227,GPT40GT3060_A,,
228,GPT44GT3060_A,,
229,GPT48GT3060_A,,
230,GPT50GT3060_A,,
231,GPT60GT3060_A,,
232,GPT22GT3090_A,,
233,GPT24GT3090_A,,
234,GPT25GT3090_A,,
235,GPT26GT3090_A,,
236,GPT28GT3090_A,,
237,GPT30GT3090_A,,
238,GPT32GT3090_A,,
239,GPT34GT3090_A,,
240,GPT36GT3090_A,,
241,GPT40GT3090_A,,
242,GPT44GT3090_A,,
243,GPT48GT3090_A,,
244,GPT50GT3090_A,,
245,GPT60GT3090_A,,
246,GPT22GT3150_A,,
247,GPT24GT3150_A,,
248,GPT25GT3150_A,,
249,GPT26GT3150_A,,
250,GPT28GT3150_A,,
251,GPT30GT3150_A,,
252,GPT32GT3150_A,,
253,GPT34GT3150_A,,
254,GPT36GT3150_A,,
255,GPT40GT3150_A,,
256,GPT44GT3150_A,,
257,GPT48GT3150_A,,
258,GPT50GT3150_A,,
259,GPT60GT3150_A,,
260,GPT22GT3060_B,,
261,GPT24GT3060_B,,
262,GPT25GT3060_B,,
263,GPT26GT3060_B,,
264,GPT28GT3060_B,,
265,GPT30GT3060_B,,
266,GPT32GT3060_B,,
267,GPT34GT3060_B,,
268,GPT36GT3060_B,,
269,GPT40GT3060_B,,
270,GPT44GT3060_B,,
271,GPT48GT3060_B,,
272,GPT50GT3060_B,,
273,GPT60GT3060_B,,
274,GPT22GT3090_B,,
275,GPT24GT3090_B,,
276,GPT25GT3090_B,,
277,GPT26GT3090_B,,
278,GPT28GT3090_B,,
279,GPT30GT3090_B,,
280,GPT32GT3090_B,,
281,GPT34GT3090_B,,
282,GPT36GT3090_B,,
283,GPT40GT3090_B,,
284,GPT44GT3090_B,,
285,GPT48GT3090_B,,
286,GPT50GT3090_B,,
287,GPT60GT3090_B,,
288,GPT22GT3150_B,,
289,GPT24GT3150_B,,
290,GPT25GT3150_B,,
291,GPT26GT3150_B,,
292,GPT28GT3150_B,,
293,GPT30GT3150_B,,
294,GPT32GT3150_B,,
295,GPT34GT3150_B,,
296,GPT36GT3150_B,,
297,GPT40GT3150_B,,
298,GPT44GT3150_B,,
299,GPT48GT3150_B,,
300,GPT50GT3150_B,,
301,GPT60GT3150_B,,
302,GPM16GT3060_A,,
303,GPM18GT3060_A,,
304,GPM20GT3060_A,,
305,GPM16GT3090_A,,
306,GPM18GT3090_A,,
307,GPM20GT3090_A,,
308,GPM16GT3150_A,,
309,GPM18GT3150_A,,
310,GPM20GT3150_A,,
311,GPM22GT3060_A,,
312,GPM24GT3060_A,,
313,GPM25GT3060_A,,
314,GPM26GT3060_A,,
315,GPM28GT3060_A,,
316,GPM30GT3060_A,,
317,GPM32GT3060_A,,
318,GPM34GT3060_A,,
319,GPM36GT3060_A,,
320,GPM40GT3060_A,,
321,GPM44GT3060_A,,
322,GPM48GT3060_A,,
323,GPM50GT3060_A,,
324,GPM60GT3060_A,,
325,GPM22GT3090_A,,
326,GPM24GT3090_A,,
327,GPM25GT3090_A,,
328,GPM26GT3090_A,,
329,GPM28GT3090_A,,
330,GPM30GT3090_A,,
331,GPM32GT3090_A,,
332,GPM34GT3090_A,,
333,GPM36GT3090_A,,
334,GPM40GT3090_A,,
335,GPM44GT3090_A,,
336,GPM48GT3090_A,,
337,GPM50GT3090_A,,
338,GPM60GT3090_A,,
339,GPM22GT3150_A,,
340,GPM24GT3150_A,,
341,GPM25GT3150_A,,
342,GPM26GT3150_A,,
343,GPM28GT3150_A,,
344,GPM30GT3150_A,,
345,GPM32GT3150_A,,
346,GPM34GT3150_A,,
347,GPM36GT3150_A,,
348,GPM40GT3150_A,,
349,GPM44GT3150_A,,
350,GPM48GT3150_A,,
351,GPM50GT3150_A,,
352,GPM60GT3150_A,,
353,GPM22GT3060_B,,
354,GPM24GT3060_B,,
355,GPM25GT3060_B,,
356,GPM26GT3060_B,,
357,GPM28GT3060_B,,
358,GPM30GT3060_B,,
359,GPM32GT3060_B,,
360,GPM34GT3060_B,,
361,GPM36GT3060_B,,
362,GPM40GT3060_B,,
363,GPM44GT3060_B,,
364,GPM48GT3060_B,,
365,GPM50GT3060_B,,
366,GPM60GT3060_B,,
367,GPM22GT3090_B,,
368,GPM24GT3090_B,,
369,GPM25GT3090_B,,
370,GPM26GT3090_B,,
371,GPM28GT3090_B,,
372,GPM30GT3090_B,,
373,GPM32GT3090_B,,
374,GPM34GT3090_B,,
375,GPM36GT3090_B,,
376,GPM40GT3090_B,,
377,GPM44GT3090_B,,
378,GPM48GT3090_B,,
379,GPM50GT3090_B,,
380,GPM60GT3090_B,,
381,GPM22GT3150_B,,
382,GPM24GT3150_B,,
383,GPM25GT3150_B,,
384,GPM26GT3150_B,,
385,GPM28GT3150_B,,
386,GPM30GT3150_B,,
387,GPM32GT3150_B,,
388,GPM34GT3150_B,,
389,GPM36GT3150_B,,
390,GPM40GT3150_B,,
391,GPM44GT3150_B,,
392,GPM48GT3150_B,,
393,GPM50GT3150_B,,
394,GPM60GT3150_B,,
395,GPA14GT5090_A,,
396,GPA15GT5090_A,,
397,GPA16GT5090_A,,
398,GPA18GT5090_A,,
399,GPA20GT5090_A,,
400,GPA22GT5090_A,,
401,GPA24GT5090_A,,
402,GPA25GT5090_A,,
403,GPA26GT5090_A,,
404,GPA28GT5090_A,,
405,GPA30GT5090_A,,
406,GPA32GT5090_A,,
407,GPA34GT5090_A,,
408,GPA36GT5090_A,,
409,GPA40GT5090_A,,
410,GPA44GT5090_A,,
411,GPA48GT5090_A,,
412,GPA50GT5090_A,,
413,GPA60GT5090_A,,
414,GPA14GT5120_A,,
415,GPA15GT5120_A,,
416,GPA16GT5120_A,,
417,GPA18GT5120_A,,
418,GPA20GT5120_A,,
419,GPA22GT5120_A,,
420,GPA24GT5120_A,,
421,GPA25GT5120_A,,
422,GPA26GT5120_A,,
423,GPA28GT5120_A,,
424,GPA30GT5120_A,,
425,GPA32GT5120_A,,
426,GPA34GT5120_A,,
427,GPA36GT5120_A,,
428,GPA40GT5120_A,,
429,GPA44GT5120_A,,
430,GPA48GT5120_A,,
431,GPA50GT5120_A,,
432,GPA60GT5120_A,,
433,GPA14GT5150_A,,
434,GPA15GT5150_A,,
435,GPA16GT5150_A,,
436,GPA18GT5150_A,,
437,GPA20GT5150_A,,
438,GPA22GT5150_A,,
439,GPA24GT5150_A,,
440,GPA25GT5150_A,,
441,GPA26GT5150_A,,
442,GPA28GT5150_A,,
443,GPA30GT5150_A,,
444,GPA32GT5150_A,,
445,GPA34GT5150_A,,
446,GPA36GT5150_A,,
447,GPA40GT5150_A,,
448,GPA44GT5150_A,,
449,GPA48GT5150_A,,
450,GPA50GT5150_A,,
451,GPA60GT5150_A,,
452,GPA14GT5090_B,,
453,GPA15GT5090_B,,
454,GPA16GT5090_B,,
455,GPA18GT5090_B,,
456,GPA20GT5090_B,,
457,GPA22GT5090_B,,
458,GPA24GT5090_B,,
459,GPA25GT5090_B,,
460,GPA26GT5090_B,,
461,GPA28GT5090_B,,
462,GPA30GT5090_B,,
463,GPA32GT5090_B,,
464,GPA34GT5090_B,,
465,GPA36GT5090_B,,
466,GPA40GT5090_B,,
467,GPA44GT5090_B,,
468,GPA48GT5090_B,,
469,GPA50GT5090_B,,
470,GPA60GT5090_B,,
471,GPA14GT5120_B,,
472,GPA15GT5120_B,,
473,GPA16GT5120_B,,
474,GPA18GT5120_B,,
475,GPA20GT5120_B,,
476,GPA22GT5120_B,,
477,GPA24GT5120_B,,
478,GPA25GT5120_B,,
479,GPA26GT5120_B,,
480,GPA28GT5120_B,,
481,GPA30GT5120_B,,
482,GPA32GT5120_B,,
483,GPA34GT5120_B,,
484,GPA36GT5120_B,,
485,GPA40GT5120_B,,
486,GPA44GT5120_B,,
487,GPA48GT5120_B,,
488,GPA50GT5120_B,,
489,GPA60GT5120_B,,
490,GPA14GT5150_B,,
491,GPA15GT5150_B,,
492,GPA16GT5150_B,,
493,GPA18GT5150_B,,
494,GPA20GT5150_B,,
495,GPA22GT5150_B,,
496,GPA24GT5150_B,,
497,GPA25GT5150_B,,
498,GPA26GT5150_B,,
499,GPA28GT5150_B,,
500,GPA30GT5150_B,,
501,GPA32GT5150_B,,
502,GPA34GT5150_B,,
503,GPA36GT5150_B,,
504,GPA40GT5150_B,,
505,GPA44GT5150_B,,
506,GPA48GT5150_B,,
507,GPA50GT5150_B,,
508,GPA60GT5150_B,,
509,GPT14GT5090_A,,
510,GPT15GT5090_A,,
511,GPT16GT5090_A,,
512,GPT18GT5090_A,,
513,GPT20GT5090_A,,
514,GPT22GT5090_A,,
515,GPT24GT5090_A,,
516,GPT25GT5090_A,,
517,GPT26GT5090_A,,
518,GPT28GT5090_A,,
519,GPT30GT5090_A,,
520,GPT32GT5090_A,,
521,GPT34GT5090_A,,
522,GPT36GT5090_A,,
